Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Sodium_Na_  Threonine_  Tryptophan  Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  
Sorghum flour, whole-grai  20648       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Egg, whole, raw, fresh     1123        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Yogurt, plain, skim milk   1118        60.2603274  0.000000    0.000000    119.918052  4.627993    1.205207    33.745783   0.069902    0.000000    0.000000    0.085570    0.054234    0.188615    0.347702    0.309738    11.449462   46.400452   0.141612    0.019283    4.218223    0.367588    0.031938    0.542343    0.000000    0.000000    0.120521    
Mustard, prepared, yellow  2046        2.83269969  0.010141    0.010566    1.784601    0.165146    0.000000    1.699620    0.006062    0.000255    0.113308    0.003371    0.045606    0.004136    0.008271    0.007478    1.359696    31.273005   0.004731    0.000255    3.087643    0.000000    0.001983    0.008498    0.000000    0.010198    0.039658    
Nuts, pistachio nuts, raw  12151       2.51962841  0.355041    0.000000    2.645610    0.684583    0.000000    14.109919   0.148834    0.000000    0.267081    0.012900    0.098769    0.023105    0.040415    0.028673    3.048750    0.025196    0.017234    0.006324    13.001283   0.000000    0.042834    0.141099    0.000000    0.072061    0.000000    
Peas, green, split, matur  16085       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, oregano, dried     2027        0.75897561  0.000000    0.004713    12.120841   0.523086    0.000000    2.011285    0.011772    0.000000    0.322565    0.001093    0.279303    0.003347    0.005920    0.003795    2.049234    0.189744    0.002444    0.001541    12.910175   0.000000    0.007924    0.017456    0.000000    0.138589    4.718551    
Seeds, pumpkin and squash  12014       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, cinnamon, ground   2010        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Plantains, green, raw      9542        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Garlic, raw                11215       3.05970784  0.000000    0.000000    5.538071    1.011539    0.000000    4.558965    0.002723    0.000000    0.064254    0.003457    0.052015    0.006640    0.009424    0.008353    0.764927    0.520150    0.004804    0.002019    0.275374    0.000000    0.037787    0.954629    0.000000    0.002448    0.052015    
Dates, deglet noor         9087        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Potatoes, raw, skin        11362       53.1856660  0.000000    0.000000    15.955700   6.616297    0.000000    30.847686   0.013828    0.000000    1.329642    0.000000    1.723216    0.000000    0.000000    0.000000    12.232703   5.318567    0.000000    0.000000    0.000000    0.000000    0.127114    6.063166    0.000000    0.000000    0.000000    
