Food Name                  ID          weight      18:2_n_6_c  18:3_n_3_c  Calcium_Ca  Carbohydra  Cholestero  Energy_kca  saturated_  trans_Fatt  Fiber_tota  Histidine_  Iron_Fe_mg  Isoleucine  Leucine_g   Lysine_g    Magnesium_  Sodium_Na_  Threonine_  Tryptophan  Vitamin_A_  Vitamin_B_  Vitamin_B_  Vitamin_C_  Vitamin_D_  Vitamin_E_  Vitamin_K_  
Nuts, coconut water (liqu  12119       47.6738164  0.000000    0.000000    7.801170    5.359693    0.000000    3.431070    3.575536    0.000000    11.918454   4.755446    6.242658    5.771316    4.941934    3.297895    20.315546   14.839182   5.091125    6.266000    0.000000    0.000000    6.118564    8.667966    0.000000    0.000000    0.000000    
Spices, caraway seed       2005        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Spices, bay leaf           2004        0.25412680  0.000000    0.000000    1.445057    0.577330    0.000000    0.301294    0.246907    0.000000    1.518985    0.000000    4.934129    0.000000    0.000000    0.000000    0.519805    0.017327    0.000000    0.000000    1.071664    0.000000    1.773452    0.895219    0.000000    0.000000    0.000000    
Egg, yolk, raw, fresh      1125        8.76272640  0.000000    0.000000    7.707216    0.953278    324.121290  10.687871   35.664544   0.000000    0.000000    21.389224   10.801735   32.809077   23.977182   23.053491   0.746823    1.246870    24.726148   25.481969   8.615353    44.809395   12.300618   0.000000    16.280747   10.276288   0.348518    
Millet flour               20647       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Fish, Salmon, pink, canne  15265       12.0250298  0.289372    1.998478    4.919330    0.000000    34.025367   6.194712    3.838102    0.002646    0.000000    46.004063   3.094943    59.580981   44.146026   54.927842   4.919330    13.474687   63.220308   52.551881   0.541126    156.409474  5.064016    0.000000    57.699644   6.996381    0.068324    
Sorghum flour, whole-grai  20648       0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Egg, whole, raw, fresh     1123        0.0         0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000    
Yogurt, plain, skim milk   1118        60.2603274  0.000000    0.000000    81.762305   14.024221   4.108659    12.782493   2.978777    0.000000    0.000000    50.209080   2.448869    81.547884   68.006196   66.957847   19.516128   13.755074   58.164745   31.681223   0.287606    96.395451   12.809347   4.108659    0.000000    0.000000    0.684776    
Mustard, prepared, yellow  2046        2.83269969  0.406727    4.502544    1.216773    0.500444    0.000000    0.643795    0.258323    0.000255    2.575181    1.977926    2.059292    1.788094    1.617799    1.616633    2.317663    9.270653    1.943021    0.418855    0.210521    0.000000    0.795277    0.064380    0.000000    0.463533    0.225328    
